mutant,geneLocus,nReplicates,meanWithin,meanToOtherMutants,nullMeanWithin,nullSdWithin,p,qBH,pBonferroni,withinMinusOthers
bioF,VC_1113,24,14.1182,26.444847,22.115126240062715,2.075981726201632,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-12.326647
lexA,VC_0092,24,14.17591,19.574312,22.04692821750641,2.072466487956707,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-5.398402
aroQ,VC_0297,17,14.232007,22.486345,22.084197152519227,2.490658478260423,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-8.254338
bioA,VC_1111,24,14.264393,26.810774,22.114529847049713,2.1162167039534086,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-12.546381
wbeM,VC_0250,21,14.300746,19.205631,22.091017240715026,2.2374430026603953,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-4.9048853
trpR,VC_0701,24,14.364435,19.257164,22.095788633728027,2.0795137069868783,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-4.892729
glmS,VC_0487,21,14.378529,20.727064,22.104385988807678,2.235830133260661,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-6.3485355
flgT,VC_2208,24,14.417304,22.170776,22.098634303188323,2.0813138527324924,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-7.7534723
epsC,VC_2734,23,14.425321,22.621326,22.10819733057022,2.128525530817375,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-8.196006
pckA,VC_2738,24,14.463055,24.435785,22.08177688627243,2.0906664148437493,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-9.972731
VC_0462,VC_0462,24,14.470447,19.832626,22.08357682275772,2.0739654428283534,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-5.3621798
bioD,VC_1115,24,14.510491,26.508785,22.081579324817657,2.0825766579278775,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-11.998294
dnaN,VC_0013,24,14.521098,19.40758,22.089587148952486,2.084850949378464,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-4.8864813
ectA,VC_A0825,24,14.534325,19.749126,22.083297588825225,2.05042223962485,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-5.214802
flrB,VC_2136,24,14.554796,23.924212,22.076716048431397,2.0458549944988347,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-9.369415
rsmJ,VC_0073,23,14.715922,19.062025,22.097239112472533,2.1116097686543194,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-4.3461027
VC_0113,VC_0113,24,14.731053,19.938734,22.073545628643036,2.0922978059886486,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-5.2076807
bioC,VC_1114,24,14.818297,26.38059,22.085181874465942,2.0686300767212984,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-11.562293
VC_2718; VC_2719,VC_2718; VC_2719,20,14.904983,26.36386,22.106886819171905,2.2866586050920823,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-11.458877
wzt,VC_0247,21,15.236252,20.136023,22.088500607395172,2.2195631466742856,0.00029997000299970003,0.000367405119953121,0.04739526047395261,-4.8997707
VC_A0187,VC_A0187,24,15.481143,19.659172,22.08080354118347,2.0624134616971608,9.999000099990002e-05,0.00013165350131653502,0.015798420157984203,-4.178029
VC_2756,VC_2756,24,15.492343,20.050997,22.048508961296083,2.0882689913213515,0.00019998000199980003,0.00025277472252774726,0.031596840315968405,-4.558654
fliL,VC_2130,24,15.497394,23.16201,22.108272222805024,2.0785628181407882,0.00019998000199980003,0.00025277472252774726,0.031596840315968405,-7.6646166
vibB,VC_0771,14,15.573012,26.038479,22.03870398454666,2.7408515414946666,0.0031996800319968005,0.0035353108045838777,0.5055494450554945,-10.4654665
fliJ,VC_2129,24,15.700249,20.888224,22.08099231262207,2.082428926236621,0.00029997000299970003,0.000367405119953121,0.04739526047395261,-5.187975
