locus,oldLocus,gene,description,logFC,qvalue
VC_RS04745,VC0958; VC_0958,lnt,apolipoprotein N-acyltransferase,-0.258228354557101,0.555904723009223
VC_RS04750,VC0959; VC_0959,corC,CNNM family magnesium/cobalt transport protein CorC,0.160469342932161,0.766147947203165
VC_RS04755,VC0960; VC_0960,ybeY,rRNA maturation RNase YbeY,-0.0940367912172136,0.837856073477104
VC_RS04760,VC0961; VC_0961,,PhoH family protein,-0.0899364542099294,0.910718256231403
VC_RS04765,VC0962; VC_0962,miaB,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,-0.880463173111821,0.153052544183448
VC_RS04770,VC0963; VC_0963,,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",-0.0598795785315283,0.911582626943029
VC_RS04775,VC0964; VC_0964,crr,PTS glucose transporter subunit IIA,0.287054596529868,0.619232686937686
VC_RS04780,VC0965; VC_0965,ptsI,phosphoenolpyruvate-protein phosphotransferase PtsI,0.385498990403928,0.364606231730221
VC_RS04785,VC0966; VC_0966,,HPr family phosphocarrier protein,0.314070621838964,0.527316318908886
VC_RS04790,VC0968; VC_0968,cysK,cysteine synthase A,0.795489960251037,0.153052544183448
VC_RS04795,VC0969; VC_0969,cysZ,sulfate transporter CysZ,0.33828151548488,0.401588080635099
VC_RS04800,VC0970; VC_0970,zipA,cell division protein ZipA,0.248519555049027,0.424200071685518
VC_RS04805,VC0971; VC_0971,ligA,NAD-dependent DNA ligase LigA,0.159635458117248,0.59428842247119
VC_RS04810,VC0972; VC_0972,chiP,chitoporin,-0.0878454887242273,0.901262147528013
VC_RS04815,VC0973; VC_0973,,hypothetical protein,0.243180132811266,0.619944287304456
VC_RS04820,VC0974; VC_0974,cueR,Cu(I)-responsive transcriptional regulator,0.387652459852653,0.351159498846484
VC_RS04825,VC0975; VC_0975,,NfeD family protein,0.251936303763227,0.619232686937686
VC_RS04830,VC0976; VC_0976,,SPFH domain-containing protein,-0.0025037509890832,0.998138061296719
