locus,oldLocus,gene,description,logFC,qvalue
VC_RS09770,VC2030; VC_2030,rne,ribonuclease E,-1.04128370980986,7.63683011511437e-05
VC_RS09775,VC2031; VC_2031,,SulP family inorganic anion transporter,-2.69774388436207,9.8698783924603e-08
VC_RS09780,VC2032; VC_2032,,DMT family transporter,-0.15323545144242,0.353799061504607
VC_RS09785,VC2033; VC_2033,adhE,bifunctional acetaldehyde-CoA/alcohol dehydrogenase,2.51839675771964,1.07064648814342e-05
VC_RS09790,VC2035; VC_2035,,YchE family NAAT transporter,-0.232304476982854,0.249418776712414
VC_RS09795,VC2036; VC_2036,asd,aspartate-semialdehyde dehydrogenase,-0.0292042178716053,0.907208843012969
VC_RS09800,VC2037; VC_2037,nhaC,Na+/H+ antiporter NhaC,-2.90439386610916,1.85748997706494e-08
VC_RS09805,VC2038; VC_2038,,Hpt domain-containing protein,0.223734116110871,0.394874365904951
VC_RS09810,VC2039; VC_2039,yejK,nucleoid-associated protein YejK,-0.0965187677257293,0.479623351768036
VC_RS09815,VC2040; VC_2040,,YejL family protein,0.154668231192563,0.509575074714689
VC_RS09820,VC2041; VC_2041,,DUF3413 domain-containing protein,0.0931610800198391,0.456218927745638
VC_RS09835,VC2042; VC_2042,,histone deacetylase family protein,0.435968805430571,0.0870332734813284
VC_RS09840,VC2043; VC_2043,,DNA topoisomerase III,0.0326233191156607,0.877999898589989
VC_RS09845,VC2044; VC_2044,,Grx4 family monothiol glutaredoxin,-1.91304976552146,2.69986578373966e-07
VC_RS09850,VC2045; VC_2045,sodB,superoxide dismutase [Fe],-0.628659105062517,0.033185282160706
VC_RS09855,VC2046; VC_2046,,VC2046/SO_2500 family protein,-4.91481804374737,5.77381146691425e-06
VC_RS09860,VC2047; VC_2047,,SDR family oxidoreductase,2.1973808717335,6.82250355688555e-07
VC_RS09865,VC2048; VC_2048,,MlaA family lipoprotein,0.36480040406994,0.0499032716989337
VC_RS09870,VC2049; VC_2049,ccmI,c-type cytochrome biogenesis protein CcmI,0.40985028660732,0.199205462807358
VC_RS09875,VC2050,,cytochrome c-type biogenesis protein,0.730267715886311,0.0001743952118542
VC_RS09880,VC2051; VC_2051,,DsbE family thiol:disulfide interchange protein,1.00591845187849,1.01436672529044e-05
VC_RS09885,VC2052; VC_2052,,heme lyase CcmF/NrfE family subunit,0.269921245361813,0.190116086382504
VC_RS09890,VC2053; VC_2053,ccmE,cytochrome c maturation protein CcmE,0.63419215513643,0.0057784695602103
VC_RS09895,VC2054; VC_2054,ccmD,heme exporter protein CcmD,0.971344230074674,0.0002686319837964
VC_RS09900,VC2055; VC_2055,,heme ABC transporter permease,0.893382516595121,0.0010103832648737
VC_RS09905,VC2056; VC_2056,ccmB,heme exporter protein CcmB,-0.0882573100946426,0.621536006039946
VC_RS09910,VC2057; VC_2057,ccmA,cytochrome c biogenesis heme-transporting ATPase CcmA,-0.629885286632297,0.0013060117920416
VC_RS09915,VC2058; VC_2058,flrD,flagellar transcriptional regulator FlrD,-0.210071108661183,0.218369387753255
VC_RS09920,VC2059; VC_2059,,chemotaxis protein CheW,-0.104780955380313,0.668121333781006
