mutant,geneLocus,nReps,umap1,umap2,isChrII,locusNumRaw,locusNum
fliL,VC_2130,24,9.129866,-0.6999817,False,2130.0,2130.0
pdhE2,VC_2413,23,4.9273353,1.1756392,False,2413.0,2413.0
VC_0134,VC_0134,24,9.79126,10.432525,False,134.0,134.0
grx,VC_1146,23,9.403258,10.630753,False,1146.0,1146.0
cheW,VC_2059,24,10.988242,4.573296,False,2059.0,2059.0
nfuA,VC_2720,24,6.713652,3.6364326,False,2720.0,2720.0
groS2,VC_A0819,24,9.589187,10.523117,True,819.0,3575.0
potD1,VC_1424,24,9.67002,1.5468165,False,1424.0,1424.0
bioF,VC_1113,24,4.8878365,-4.716996,False,1113.0,1113.0
WT,WT,24,9.013154,10.241822,False,,
flgO,VC_2207,24,9.518111,1.5431639,False,2207.0,2207.0
hslO,VC_2736,24,8.524415,7.6847057,False,2736.0,2736.0
bioC,VC_1114,24,4.910578,-4.891793,False,1114.0,1114.0
dnaN,VC_0013,24,9.69297,7.2116303,False,13.0,13.0
mutH,VC_0668,24,8.723834,8.617488,False,668.0,668.0
pabC,VC_2018,24,8.065121,5.5606537,False,2018.0,2018.0
lexA,VC_0092,24,8.567057,3.666604,False,92.0,92.0
VC_2271,VC_2271,24,9.659636,5.003274,False,2271.0,2271.0
