mutant,geneLocus,nReps,umap1,umap2,functionalGroup,color
glyA1,VC_0941,24,6.58524,2.1572502,Unclassified,#939090
VC_1003,VC_1003,24,5.4151196,0.69941,Unclassified,#939090
flgA,VC_2203,24,10.839439,4.4352584,Motility,#ff0004
VC_A0187,VC_A0187,24,9.394318,5.107556,Unclassified,#939090
VC_1652,VC_1652,24,9.152342,9.834001,Unclassified,#939090
fliL,VC_2130,24,9.129866,-0.6999817,Motility,#ff0004
pdhE2,VC_2413,23,4.9273353,1.1756392,Pyruvate Flux,#39ff14
VC_0134,VC_0134,24,9.79126,10.432525,Unclassified,#939090
grx,VC_1146,23,9.403258,10.630753,Unclassified,#939090
cheW,VC_2059,24,10.988242,4.573296,Motility,#ff0004
nfuA,VC_2720,24,6.713652,3.6364326,Unclassified,#939090
groS2,VC_A0819,24,9.589187,10.523117,Unclassified,#939090
potD1,VC_1424,24,9.67002,1.5468165,Polyamine Import,#14f7f0
bioF,VC_1113,24,4.8878365,-4.716996,Biotin Biosynthesis,#ff9f1c
WT,WT,24,9.013154,10.241822,WT,#000000
flgO,VC_2207,24,9.518111,1.5431639,Motility,#ff0004
hslO,VC_2736,24,8.524415,7.6847057,Unclassified,#939090
bioC,VC_1114,24,4.910578,-4.891793,Biotin Biosynthesis,#ff9f1c
dnaN,VC_0013,24,9.69297,7.2116303,Unclassified,#939090
mutH,VC_0668,24,8.723834,8.617488,Unclassified,#939090
pabC,VC_2018,24,8.065121,5.5606537,Unclassified,#939090
lexA,VC_0092,24,8.567057,3.666604,Unclassified,#939090
VC_2271,VC_2271,24,9.659636,5.003274,Unclassified,#939090
