mutant,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
flgF,13.12271239378293,-2.5810775917681488,3.617890700025103,-3.1168822277345654,3.9073800460854224,-1.1349686291386392,2.07628231464894,0.3374905000580503,-3.59681579162311,0.08828825408724725,1.1963029763862152,-0.8025078111318311,-0.8532331756238822,1.7378545446971603,-0.8787577591311877,-1.0768193343995098,0.1490629732177634,-2.0232549034608303,0.8978315636589509,-0.9135724456217972,0.6368720726326305,-0.06766205943451745,-0.11239053849304909,-3.410923417225729,0.8305862267742496,-1.4517640979461262,1.2323725661003575,0.0278378536616107,-0.9595354645649343,-0.09413818005476854,-0.3563982825058441,0.5940095940934764,0.34019885472367883,0.7192964972819207,0.233422432736752,1.103814161062029,-0.6626283216753563,-0.238765526395813,-0.366668513292347,-0.6101952740857582,-0.8189002525800324,-0.036959230871520934,0.5733715160562959,-0.17494996599831417,-0.06021789915592428,0.2952890059184292,0.4055891946481661,-0.09190193065489825,-0.8562926826192891,0.10981458815391215
flgK,-4.677347260512732,4.3483202697442405,6.042638943347362,-0.20416183225661083,-1.8993681007014191,-0.5057842210824407,1.0626262699868116,-0.8365671584662758,-0.37458919140712843,0.1277545987379714,0.8880375650240713,-1.0798554617688574,-1.5374594824997967,-0.22492923142632,-1.137197137435735,0.6611515413011162,1.7411396479528598,-0.24653282308760732,-0.243068910280211,-0.5822491528338704,0.15686138721873627,1.127715941540996,-0.6730984134159479,-0.4187560142543732,0.12489548212375898,-0.3127234546649037,-0.8740266734447931,-1.6492595195532198,0.8861977973123267,0.18375028876791044,-1.135266468964151,0.14606425445790397,-0.6744033108254642,-0.0027906125451890515,-0.5846713289286242,-0.2922688378006001,-0.035117837360029006,0.3523522029907447,-0.1520445436536796,-0.44949653709573034,-0.549916642094082,-0.2968225546415119,-0.1699262872034977,-0.08914270339840852,0.3563450660436458,0.1232770594457829,0.2591336734417911,0.23197622770947124,-0.647018633996499,0.3328302044255106
flgM,-15.205719772939588,2.373005298989435,-0.9242884533704617,-4.672091636229492,0.5053188320999972,0.3414720041110321,-0.9227660713236605,0.1599572545172962,-0.09601150347196347,-0.7181119019767073,0.7173021767542497,-0.4925316762039753,-1.5573799010826035,-1.2344916844716352,-0.8091128968272541,-0.41825725192335333,0.24993878332552766,0.011769631018532331,-0.8302271675150357,-0.8613282055728797,-0.021198152914498086,-0.5545668106592168,0.6656548160331275,0.015628896833302278,-0.3287362991421924,0.4123421946885343,-0.38571412691092655,-1.5776419391185093,0.664993384993078,-0.34552783062351844,-0.8634668696451175,-0.16050456270389374,0.43612323954204035,-0.3478832695356123,0.08597842622135575,-0.007798754511805061,0.06245255382282143,0.29034885780195907,-0.5932658855246444,-0.3675520034211907,-0.4640810766052509,0.10956789328808567,-0.5176740027430122,0.09928463758076456,0.21097616512656106,-0.2027684997186403,0.015112390476253318,-0.06498841319249202,0.7948242764963791,0.25977598402365254
flgO,18.23238556366175,4.786838409463984,5.48762409324547,-3.0683844379950367,3.5570043927116606,-4.992315774862311,-2.275350025679382,0.7239112294125478,5.323861948745261,-0.48317619586313393,-1.1092609802010687,1.8196029365143245,-0.831233943182895,0.17995042568901606,0.7840680487936309,0.5134272313077839,1.085510362807686,0.011716036382244267,-0.48396167251978206,0.3727163414668404,0.1220474759210547,-0.015214827644708023,-1.2131080725443635,1.3253992539237704,-0.45428216990760395,0.6156637736661137,-0.625733949591389,0.5556263778837326,-0.2149140223228471,-0.31810660162254245,0.6916423669254479,0.3060365185926165,-0.9847186402165562,0.3839541233222098,-0.31506373310524327,-0.29240300108101636,0.38871457816085636,0.45639943122186205,0.4469340246825637,-0.07442824841010934,0.37594488670689485,0.09157908225309958,-0.31950936251347917,-0.15946086892603298,0.04530661630986303,-0.8944949332926313,-1.014131077868391,-0.06795407157553246,0.7394787855923259,-0.006706717449983148
flgP,18.24387987439954,0.3611639465995743,4.47456229749921,-2.9520026598736226,4.790747969287804,-2.756974459690907,-0.8219502389915538,0.3432322105063573,3.0925153113832202,0.17849294260125834,-0.256085277510949,0.9085878021280287,-0.6585858966780134,0.39005419694062826,0.579271063784198,0.47470822287293213,-0.3393101554344142,-1.282320219446805,-0.2342924833859749,-1.7502677089530185,1.43129724824131,0.1019423760798843,-0.21396417626911252,0.41739598991237714,0.0895032540003913,-0.31265259852190413,0.41770489829024016,0.5746798518379679,-0.16911739392616362,0.12219167923836904,0.6922493501402605,0.49197250574104767,0.10744701023027523,0.22110791903677537,0.0957750581814575,-0.13554193408557716,0.018594938917952282,0.1151225877117477,0.06285297331320153,0.9169453277949642,0.5810872995522873,-0.6628011398877733,-0.06631084633995463,-0.0448063870758801,-0.20562136509892348,-0.5208419039485587,0.19857373126483324,0.4710083822959984,0.3246801622063229,-0.2959275581190749
flgT,10.412079417470007,10.193100346784975,5.430784312978295,-0.8241049416979269,2.9459839860831636,-1.7131272466423182,1.0868828470224923,1.597539823733265,-4.5714459248690495,0.811634791135879,2.001066506178017,1.234948576331329,-0.6399996977881444,1.8803377355888546,-0.17670139788282235,-0.9716486014367213,-0.514177315290909,-0.5141860014494319,0.3903285347776334,-0.5513903584596793,-0.8121940189241751,-0.8303263849114634,0.799886290559583,-0.2064230909000312,0.7515758383864544,-0.268264054289305,0.8303722343792321,0.3845488537178181,-0.2392974153986302,0.06893215145483558,0.49100807552052284,0.6481532155751669,0.3508039938258336,0.03655589856170303,0.16682145514013474,0.29121566133480326,-0.956132645070597,-0.3265751021200294,0.1446828100626036,-0.13068517509740538,-0.2065933610203119,-0.17878880739791062,0.1921441179662085,0.10970436153808341,-0.12120078214701223,0.6831320787278534,0.27049148869143835,0.3081501085200644,-0.3555007853787049,-1.1218075303129504
flhA,15.43401847049095,11.979486474670523,8.106190609656334,-0.7901679420650816,3.5292631529964495,-2.4698571377036758,0.3985439345226154,0.8246265581047607,0.1890486247950301,-0.6724600083704647,-0.5502118934030712,0.4767210311663434,0.034340391180348,2.687431943691548,0.47010587440386115,-1.2932729439792956,-1.019955945554115,-0.228021055928939,1.511511490591683,-1.2068158731889627,0.6426005941254743,-0.32301983294382186,2.2533116448922703,-1.4937215309124388,1.4740775344700099,0.45386810654102044,0.8691118784226449,-0.15463100827562778,0.11481419764529659,0.6213425422848458,0.2584355249187358,0.8570573476739323,0.42078578879404144,-0.7222898709621228,-0.0466229645935649,-0.1698194150661466,0.1340283425356852,-0.024367090552276798,0.7883393540916114,0.4550055548330957,0.31623566527215147,-0.5633926258589417,-0.4421006247409219,-0.13443827111423118,-0.457240131866698,0.16273562908844655,0.23320756240567292,0.3441631808518716,0.06156492302701556,-0.477150527090003
flhB,21.10004288415717,-1.9201012084684854,3.6445899192820237,-4.095996088087843,4.852893514413522,-1.5207125626682894,-1.0819812421171393,-0.617412995149866,-1.066272788124772,-1.1040673099779785,-1.0683327409302186,1.7861908875471113,-0.8470520426750592,0.6983576886864696,0.48458029620173515,-0.7771116353149625,-0.8870542417904297,0.060712341633198386,2.6424830702226823,-0.5628865612161222,2.4420864544725847,-0.44365618639605314,-0.41064724069736175,-3.157853356469315,1.198543826800717,-3.5718626480345606,1.2637513421347943,-1.0644988400559248,-0.1314257694103776,-0.35282979016168003,0.7252763163274633,0.5282953426298096,-0.415630198270592,0.06764900650975982,0.6354084572061836,-0.02298414166039514,0.11354002925982751,0.1515244652146393,0.15819993859355078,0.23802140718972875,-0.3078696317345394,-0.03732059381917182,-0.09718220609786338,-0.34941789511091126,-0.5993836531957784,-0.3551574986284512,0.6511764425963606,-0.034259234504517205,-0.19711013263116217,-0.19576600730424934
flhG,6.011372940441977,-1.4125070611559867,-6.614306372351701,0.6318534816169215,-4.146204558186939,-1.335769397896069,-2.3773485622898893,-0.6056339367732129,2.5656888804239575,4.087342294532977,4.967782205003083,-4.56073496903145,3.3443099683774387,-1.4791300709065875,-4.8509786808330935,2.3661399879526046,-2.6533203617973173,-3.0960165013936356,-4.116333790538331,2.0918136114758736,1.2399611347290338,-1.0952396214273477,-0.39975722142909464,1.3320208555460349,-1.9639977872804506,-0.34651329209503623,-0.4327064678147773,-0.7687759124289155,-0.9753809520033601,0.0042384535117101635,1.9545389753413065,0.9906684748301484,1.0607763007535413,0.7411286908627184,0.7447883149639213,0.018863049061065153,0.3268885551352717,0.9578342659869115,1.7516715818629207,0.24032295996659425,-0.5459180713715825,0.7058509370402852,0.37808534923458315,-1.4497676527167247,0.5037275966843229,1.1574723864668344,-0.33617298641250626,0.3198627179846887,0.006044459453263026,0.3060326951411191
fliA,5.437216108746452,2.040212400195858,2.516225821093869,-6.843600646258558,5.411140356192238,-1.3371140116160463,0.8391194322333916,0.9161306666041595,-3.7384653174100757,1.4915710689628867,1.9984897867872462,-1.1913013668952503,-0.3225827968094256,1.23603109128626,0.9902620436967321,0.8189646837769339,-0.5297077136616323,-1.9514989262486808,-1.010567694998204,0.22101431775843283,0.3712518475344591,1.787541641153314,0.8744860041227138,-1.5742600501108588,1.0393805867547092,0.2992491822245178,1.4186397291734347,0.9197355295915096,0.9870860959917638,0.1284179134581757,-0.9877516651036503,0.21835800568540784,0.3841958782469678,1.2002719310449383,-0.5006907206242894,1.0944195772717484,-2.5862230533263304,-0.732621386296108,-0.8445058635311655,-1.0542307670791833,-1.2241674678097587,0.5467229581639306,0.9253768683018837,-0.2592121707017248,0.007552484711411659,-0.3759111623713577,-0.5454442988849151,0.03619235941599537,0.23112378822408908,-0.5514805016120559
