mutant,plateId,wellId,biomass_t0,biomass_t1,biomass_t2,biomass_t3,biomass_t4,biomass_t5,biomass_t6,biomass_t7,biomass_t8,biomass_t9,biomass_t10,biomass_t11,biomass_t12,biomass_t13,biomass_t14,biomass_t15,biomass_t16,biomass_t17,biomass_t18,biomass_t19,biomass_t20,biomass_t21,biomass_t22,biomass_t23,biomass_t24,biomass_t25,biomass_t26,biomass_t27,biomass_t28,biomass_t29,biomass_t30
luxO_D47E,241010_105227_Plate_1,B2,0.0,7.88516903898024e-05,0.00013199530932271657,0.00016044468711858494,0.00010924775401393138,0.00016027843060949972,0.0008706714945163448,0.00401013742822283,0.015822018037719404,0.05053677772863316,0.16696628928723145,0.4445411280710625,0.8599867718458852,1.0145535289691914,0.6944729665666461,0.5179801793088321,0.44922595695074097,0.4545345018725279,0.48513471457937346,0.5485022260431038,0.5366455153624015,0.16812274843125968,0.12683398768294907,0.1275896924001703,0.13384365904037426,0.14050468661937512,0.16629589970622904,0.19410938313725998,0.19536587707062433,0.1682115545529066,0.17599174390863204
rbmB,241010_105227_Plate_1,B3,0.0,2.774169820404502e-05,2.686148969847554e-05,3.885577797483151e-05,0.00015717195515685989,0.002148230047329283,0.01674910205107167,0.0844030259916307,0.3245874580287757,0.7014861021586534,1.2712590629202263,1.497859462074897,1.3115949250886092,1.0445046792071615,0.7185998222559531,0.3339312811584226,0.6038000371181924,0.4717629830999927,0.2930402051773183,0.2160395930914853,0.16775746562650368,0.13418373586030558,0.10919645926635763,0.10751879332282996,0.10816158271827345,0.09457844598914636,0.11493806026172874,0.10618131120261837,0.09433483940829608,0.07025634924890485,0.06321542889050008
vpsL,241010_105227_Plate_1,B4,0.0,0.000987368850928757,0.0010920384918761826,0.001090747562916057,0.000958472720626054,0.0011958623379441226,0.0010229343684498961,0.00036594120995791054,0.0027950577505139592,0.004935578939618888,0.002550937152154097,0.0011089141294423706,0.00019565191718124718,0.0,0.0,0.0,0.0014411268024871683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WT,241010_105227_Plate_1,B5,0.0,3.52191495709544e-05,2.340321854895873e-05,3.2071602875384365e-05,0.00011879563928604472,0.0020289033502446283,0.01857409560491887,0.10286456072348388,0.3149957281197532,0.715444693701801,0.7371372223876077,0.08776309277846207,0.0036496656294002835,0.00036499041800712033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potD1,241010_105227_Plate_1,B6,0.0,0.0004058010408183011,0.0003664975272430374,0.00040125799142344185,0.00046230213170596606,0.002446958753072281,0.015255960100722788,0.09227305806429303,0.42104380673291075,1.1334162326266404,1.9442961082931658,2.8635948228780843,4.0812029236919365,4.815480012481777,4.517435459630149,3.5609171558269046,4.03976699985101,3.8700023179190244,3.4636373692629894,3.294658961577711,3.173104052759468,3.088046794697935,2.993624734155629,2.9197993538848612,2.8850863189547558,2.632348403633849,2.383601647687719,2.136846224732145,1.7044090988516984,1.1594659391402506,0.5885384787341327
vpvC_W240R,241010_105227_Plate_1,B9,0.0,1.9662534034791607e-05,4.1833026777227826e-05,4.362994531799619e-05,0.00019242208688910304,0.0023086183570395174,0.015649797427475617,0.0699274074687011,0.2671989813835079,0.7674825129056636,1.6298181762400223,2.517830238029378,3.039886443772532,3.52639351688784,3.864403499565205,4.278966378791105,4.625520247356715,5.250508960972683,6.1414789975797515,6.657432934043748,6.862874082631455,7.056945118430699,7.171048244656496,7.234577759244766,7.33315997763267,7.323257483143432,7.331400440724371,7.324251277079476,7.397074436897649,7.417183716751563,7.4178578380756095
hapR,241010_105227_Plate_1,C1,0.0,1.0398622370432747e-05,3.0793054206876734e-05,4.6248367632365016e-05,7.117108774673937e-05,0.00014974602056954766,0.0007957239831249252,0.004303378532255052,0.020215611123673406,0.07042342165879895,0.25147655942124714,0.7080154486972724,1.4842876208905746,2.256051138589509,2.517243257586803,2.888218241149836,3.3269144631452443,3.8653603773335035,4.5864860813640504,4.733665224487215,4.606573960541011,4.4082726128020315,4.214487075408775,4.008542475895728,3.7640357959481956,3.5196456159358305,3.3418295980711132,3.1077833683872753,2.8422366128925662,2.5105067257444245,2.223955673959321
flaA,241010_105227_Plate_1,C11,0.0,2.795538329465804e-06,1.5149396767373409e-05,2.657156469621443e-05,0.00010218400582092841,0.0010514121155181513,0.009605251124230435,0.056674289241337016,0.26395554828607504,0.8343584245983616,1.9283744059021952,2.9255700464254666,3.442915829416848,3.1975832170931278,2.593758702950669,1.9327503093223335,1.3368217755733438,0.8141263583604242,0.6701480877384006,0.8946334312388761,1.0324551283639702,1.0326241268347902,0.9341567364541674,0.8467486809063697,0.7471819645014739,0.6568465638548516,0.5173561489442811,0.47595256018868987,0.38013998397359594,0.3183870733334949,0.3099792689998286
luxO_D47E,241010_105227_Plate_1,C2,0.0,1.1029430061866695e-06,3.6622681536728276e-06,1.85109194690088e-06,1.6475848176157612e-05,0.0001342349570430523,0.0012270161059112256,0.0066618702306558975,0.02790407517166119,0.0972934094323386,0.30038006222929525,0.665551356082945,0.8735861998403435,0.6082309135272558,0.3957641233269462,0.30072957541022094,0.2889742103103181,0.308089763105304,0.34675271429306975,0.3354159531220958,0.07629885713767018,0.033819068464339325,0.03208049418788753,0.023584645462919596,0.025389149874896953,0.03361123846518664,0.04749464274248394,0.050084967305554666,0.04046861591769674,0.042477875987828116,0.04687553453363219
rbmB,241010_105227_Plate_1,C3,0.0,8.416648832188674e-06,5.014994243587117e-05,7.462819322813335e-05,0.00010185849483674882,0.0005186718893142498,0.003487689055074496,0.014678706265823535,0.06015137426098088,0.20898568252216954,0.5328640826217718,1.087945077391835,1.5281419549815165,1.788905458545694,1.642175395252983,1.4260631334878162,1.246094675661351,1.176990418480833,1.195334343117402,0.9807704203298462,0.7691748383129047,0.6348208533797196,0.5459449120242345,0.4949912109885844,0.4922288116073817,0.5402731976145407,0.5337096768699108,0.5314515710657024,0.49213576547661325,0.5157113062890313,0.4737721321541124
vpsL,241010_105227_Plate_1,C4,0.0,5.265882672279403e-05,0.00018797997512463892,0.0002376975864348577,0.00021504721695028914,0.00031351207268823526,0.00037006140872700795,0.0004325850714353134,0.0026379163247603164,0.008021863856709482,0.005838971400426513,0.003885004393095019,0.00043540404216850135,0.00014482463395699052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WT,241010_105227_Plate_1,C5,0.0,6.588170980624926e-05,6.95240247712557e-05,0.00013016196014206118,0.0002891317393558331,0.0032413607762554974,0.025086024667582245,0.11405346996755296,0.3353816786004119,0.6620190405974813,0.43139544792971823,0.007854433654247584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potD1,241010_105227_Plate_1,C6,0.0,0.0,6.997436523533594e-06,1.0139856085045288e-05,7.880500347548527e-05,0.0016502602366205697,0.017643447041311478,0.11082249607673413,0.4582962994920523,1.2096304634623811,2.002145682586539,2.730358020159006,3.5672083529572967,3.8746651910416907,3.09448237952065,2.838725965592518,3.2428853738571126,2.930833409168035,2.6025947749564513,2.415558141671938,2.2436540608157225,2.260573703523897,2.1029936976469306,2.1341584334609727,2.078750408899572,1.8471408469182757,1.6942916613133046,1.4581202106537183,1.0742584082002322,0.708201233324078,0.39363366587305587
vpvC_W240R,241010_105227_Plate_1,C9,0.0,0.0,1.135338414679789e-05,2.188885314601202e-05,0.00010465939537333387,0.001296383658295391,0.012329146006195148,0.04893125681097269,0.18757305462778456,0.5635858244228692,1.3347574127726833,2.423714274044627,3.39208888726588,3.8572616924030125,4.479616852088462,5.039090335803302,5.562140268605386,5.965689155682757,6.630736258314976,7.566288920800574,8.051369705674023,8.338249057219022,8.47556757092724,8.6261193269841,8.684135224663672,8.629899221551073,8.684983226487969,8.638400640470989,8.50298183810512,8.47411566875015,8.464935447108104
hapR,241010_105227_Plate_1,D1,0.0,5.655937429380639e-06,1.2882227776475029e-05,1.7611220965674758e-05,2.4962615657614417e-05,9.271156462278893e-05,0.0005420161489982007,0.003751696098739491,0.02042429982498886,0.0776446721464707,0.31465285583639474,0.861438908092877,1.7483140589190593,2.346038778235631,2.5950409378857824,3.021874363382979,3.4015035800748024,4.171257106067962,4.321946695859828,4.243524851442067,3.8667249379977737,3.6023647831630394,3.3283361368661346,3.0364729689212777,2.827642688752351,2.5736799859385293,2.325521146714591,2.0148712607515673,1.6795782946448408,1.4030922487395945,1.1578916518418332
flaA,241010_105227_Plate_1,D11,0.0,0.0,0.0,2.020361002530038e-05,0.00024202871562618148,0.002764363294575978,0.022143424898716527,0.10683603147546361,0.4499683865605393,1.2385266606421996,2.3443088010123745,3.0069215097639788,2.5233513451750085,1.4998958033641712,0.7668297253814558,0.44097572847657046,0.23799097634047184,0.13438909541881242,0.1646013673541771,0.2688867591468963,0.24859071826028994,0.23465658367827355,0.1928912566050469,0.16624550779971428,0.15324555289300265,0.11589279796233232,0.12832307353624403,0.11674267234586203,0.09143715431018726,0.07212343793432029,0.08719623565993548
luxO_D47E,241010_105227_Plate_1,D2,0.0,6.612159133176726e-05,5.021737730649506e-05,6.540671509354704e-05,6.534171722501127e-05,0.00011650386754190327,0.0007478437135591561,0.004060657136905278,0.017434765027707574,0.06734807750341541,0.20853430880665513,0.48855068394703527,0.5508938854469273,0.2958304521894073,0.17236047035539148,0.12460754150520924,0.11820438539579073,0.12796374948247738,0.13581548397634416,0.12242870514598017,0.016040781107710882,0.012296222402243961,0.006931376312018415,0.008596210543398786,0.010085911666156184,0.014287718572961341,0.018039252561572905,0.015053989874428533,0.01538228896555251,0.01341991109091546,0.011694264829657264
rbmB,241010_105227_Plate_1,D3,0.0,1.3495825311011154e-05,2.8304886444016354e-05,4.7977368449735726e-05,0.0002085418859838391,0.0023599088244778826,0.019409081805000252,0.08688626691739362,0.3084292982205999,0.6512688786695239,1.4188422775751257,1.780204344558952,1.7399805684361151,1.6113998173739237,1.205520396576279,0.5654844657313683,1.0014451461951508,0.8735322968852659,0.6117591495086752,0.45980103459036975,0.3787764331537699,0.308847661391913,0.2915170788722437,0.2666684184755527,0.283081132648383,0.2896722937048411,0.3269852901903581,0.3033991359797133,0.2344391193618647,0.19526615660373095,0.1538032478467084
