species,plateId,wellId,LB_condition,umap1,umap2
A. baylyi,260624_Drawer8,G2,100% LB,-1.5541693,11.250744
P. aeruginosa,260624_Drawer8,G3,100% LB,-8.8446,6.5271554
V. cholerae,260624_Drawer8,G4,100% LB,7.360356,-13.673398
A. baylyi,260624_Drawer8,G5,100% LB,0.84305465,11.583977
P. aeruginosa,260624_Drawer8,G6,100% LB,-8.592585,6.9675965
E. coli,260624_Drawer8,H1,100% LB,16.822598,3.064787
E. faecalis,260624_Drawer8,H3,100% LB,1.8199092,-4.3320794
E. coli,260624_Drawer8,H4,100% LB,16.726324,3.0143979
E. faecalis,260624_Drawer8,H6,100% LB,1.8286902,-4.7996817
K. pneumoniae,260616_Drawer4,A1,100% LB,7.5687137,-14.213479
S. aureus,260616_Drawer4,A3,100% LB,16.779766,13.062257
K. pneumoniae,260616_Drawer4,A4,100% LB,7.249741,-14.187576
S. aureus,260616_Drawer4,A6,100% LB,16.449749,12.741284
A. baumannii,260616_Drawer4,B1,100% LB,14.026146,8.262355
A. baylyi,260616_Drawer4,B3,100% LB,-1.4057031,11.347258
A. baumannii,260616_Drawer4,B4,100% LB,14.005356,8.192609
A. baylyi,260616_Drawer4,B6,100% LB,-0.4253339,11.469194
P. aeruginosa,260616_Drawer4,C1,100% LB,-8.971736,6.707454
K. pneumoniae,260616_Drawer4,C3,100% LB,2.3082356,-0.9592768
P. aeruginosa,260616_Drawer4,C4,100% LB,-9.645824,6.092802
K. pneumoniae,260616_Drawer4,C6,100% LB,2.5613797,-1.5073003
E. faecalis,260616_Drawer4,D1,100% LB,1.8483919,-4.84267
A. baumannii,260616_Drawer4,D3,100% LB,12.886168,6.1871023
E. faecalis,260616_Drawer4,D4,100% LB,1.9615687,-4.22971
A. baumannii,260616_Drawer4,D6,100% LB,12.716473,6.509943
V. cholerae,260616_Drawer4,E1,100% LB,6.7482114,-14.041437
P. aeruginosa,260616_Drawer4,E3,100% LB,-9.718605,6.2277875
V. cholerae,260616_Drawer4,E4,100% LB,6.6179976,-13.621754
P. aeruginosa,260616_Drawer4,E6,100% LB,-9.011102,6.3205595
E. coli,260616_Drawer4,F1,100% LB,16.800566,3.010448
E. faecalis,260616_Drawer4,F3,100% LB,2.778954,-4.060735
E. coli,260616_Drawer4,F4,100% LB,16.978746,2.6006343
E. faecalis,260616_Drawer4,F6,100% LB,2.6080055,-4.37156
S. aureus,260616_Drawer4,G1,100% LB,16.134632,12.711893
V. cholerae,260616_Drawer4,G3,100% LB,6.191077,-12.432856
S. aureus,260616_Drawer4,G4,100% LB,16.315733,12.204137
V. cholerae,260616_Drawer4,G6,100% LB,7.2990384,-13.814602
A. baylyi,260616_Drawer4,H1,100% LB,-1.3312634,11.565671
E. coli,260616_Drawer4,H3,100% LB,17.427616,2.447586
A. baylyi,260616_Drawer4,H4,100% LB,-0.6390748,11.490546
E. coli,260616_Drawer4,H6,100% LB,16.989801,2.743358
K. pneumoniae,260616_Drawer5,A1,100% LB,7.5452986,-14.187376
S. aureus,260616_Drawer5,A3,100% LB,16.414907,12.941333
K. pneumoniae,260616_Drawer5,A4,100% LB,7.2345667,-14.248718
S. aureus,260616_Drawer5,A6,100% LB,16.3364,12.615799
A. baumannii,260616_Drawer5,B1,100% LB,14.126461,8.344423
A. baylyi,260616_Drawer5,B3,100% LB,-1.3148625,11.413751
A. baumannii,260616_Drawer5,B4,100% LB,13.990023,8.221368
A. baylyi,260616_Drawer5,B6,100% LB,-1.3055768,11.201122
P. aeruginosa,260616_Drawer5,C1,100% LB,-8.717148,7.455955
K. pneumoniae,260616_Drawer5,C3,100% LB,2.4442966,-1.3991266
P. aeruginosa,260616_Drawer5,C4,100% LB,-9.116074,7.398869
K. pneumoniae,260616_Drawer5,C6,100% LB,2.3351371,-1.6619633
E. faecalis,260616_Drawer5,D1,100% LB,1.9833807,-4.637736
A. baumannii,260616_Drawer5,D3,100% LB,12.883479,6.206662
E. faecalis,260616_Drawer5,D4,100% LB,1.8849852,-4.504891
A. baumannii,260616_Drawer5,D6,100% LB,12.69509,6.330521
V. cholerae,260616_Drawer5,E1,100% LB,6.423114,-12.549191
P. aeruginosa,260616_Drawer5,E3,100% LB,-9.450198,6.2163343
V. cholerae,260616_Drawer5,E4,100% LB,7.436266,-13.713892
P. aeruginosa,260616_Drawer5,E6,100% LB,-9.193962,7.0756106
E. coli,260616_Drawer5,F1,100% LB,17.119589,2.5546486
E. faecalis,260616_Drawer5,F3,100% LB,2.7383208,-4.107652
E. coli,260616_Drawer5,F4,100% LB,16.737688,2.891089
E. faecalis,260616_Drawer5,F6,100% LB,2.5697324,-4.3920016
S. aureus,260616_Drawer5,G1,100% LB,16.129358,12.840804
V. cholerae,260616_Drawer5,G3,100% LB,6.8165174,-14.06534
S. aureus,260616_Drawer5,G4,100% LB,16.07279,12.782338
V. cholerae,260616_Drawer5,G6,100% LB,6.967507,-14.01971
A. baylyi,260616_Drawer5,H1,100% LB,-1.3305156,11.470838
E. coli,260616_Drawer5,H3,100% LB,17.245274,2.5883608
A. baylyi,260616_Drawer5,H4,100% LB,-1.4750985,11.335496
E. coli,260616_Drawer5,H6,100% LB,17.209791,2.6365821
K. pneumoniae,260616_Drawer6,A1,100% LB,7.529815,-14.201233
S. aureus,260616_Drawer6,A3,100% LB,16.566442,13.011671
K. pneumoniae,260616_Drawer6,A4,100% LB,7.4697485,-14.15599
S. aureus,260616_Drawer6,A6,100% LB,16.520159,12.675658
A. baumannii,260616_Drawer6,B1,100% LB,14.144355,8.38131
A. baylyi,260616_Drawer6,B3,100% LB,-1.5089151,11.499168
A. baumannii,260616_Drawer6,B4,100% LB,13.955045,8.212254
A. baylyi,260616_Drawer6,B6,100% LB,-0.31287545,11.564428
P. aeruginosa,260616_Drawer6,C1,100% LB,-8.660696,7.3280997
K. pneumoniae,260616_Drawer6,C3,100% LB,2.372819,-1.7326435
P. aeruginosa,260616_Drawer6,C4,100% LB,-9.264579,7.1231337
K. pneumoniae,260616_Drawer6,C6,100% LB,2.2875195,-1.0419736
E. faecalis,260616_Drawer6,D1,100% LB,1.6985457,-4.530783
A. baumannii,260616_Drawer6,D3,100% LB,12.91403,6.1944246
E. faecalis,260616_Drawer6,D4,100% LB,1.8093687,-4.731344
A. baumannii,260616_Drawer6,D6,100% LB,12.565873,6.2695494
V. cholerae,260616_Drawer6,E1,100% LB,7.4028983,-13.710688
P. aeruginosa,260616_Drawer6,E3,100% LB,-9.623106,6.2482033
V. cholerae,260616_Drawer6,E4,100% LB,7.3994393,-13.69628
P. aeruginosa,260616_Drawer6,E6,100% LB,-8.94658,7.344237
E. coli,260616_Drawer6,F1,100% LB,16.890455,3.071349
E. faecalis,260616_Drawer6,F3,100% LB,2.8807867,-3.8235471
E. coli,260616_Drawer6,F4,100% LB,17.08489,2.8502643
E. faecalis,260616_Drawer6,F6,100% LB,2.613556,-4.356127
S. aureus,260616_Drawer6,G1,100% LB,16.176708,12.752569
V. cholerae,260616_Drawer6,G3,100% LB,6.474401,-13.687173
S. aureus,260616_Drawer6,G4,100% LB,16.205692,12.370049
V. cholerae,260616_Drawer6,G6,100% LB,6.6045966,-13.731075
A. baylyi,260616_Drawer6,H1,100% LB,-1.2457119,11.632858
E. coli,260616_Drawer6,H3,100% LB,17.391907,2.4904037
A. baylyi,260616_Drawer6,H4,100% LB,-1.0083945,11.477929
E. coli,260616_Drawer6,H6,100% LB,16.975513,2.7081249
