geneLocus,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
VC_0016,0.0,4.119269177192248e-05,0.0002008823161935948,0.00018702632083330612,0.0003217104914610428,0.0017214301272669417,0.008270681502398021,0.0391061190812107,0.1496812032692237,0.40793846686762447,0.7264019740564024,0.852155762570106,0.3562901065457642,0.0295726217517219,0.0018083047709416648,0.0004532062421065411,0.0005464098417310568,0.0004682050469915884,0.0005188147388329167,0.0004929265138023465,0.0005685175435497681,0.0005272745267484463,0.0005211681445266852,0.0005525302681470688,0.0006084674578847112,0.0005165040676159405,0.0005775515049402578,0.0005061149417959059,0.0005970003732787999,0.0005406814824045509,0.0005647884087134445
VC_0017,0.0,0.00027927567096016124,0.00037809181212259324,0.00037966424023720035,0.0004933118196154773,0.002922412242786695,0.012309258089593473,0.07606524868558429,0.21565973776326602,0.4332078378223819,0.3069941153223824,0.025291155506354124,0.001854442089123774,0.00020848665217416352,6.387794435992577e-05,9.934790117075428e-06,1.0658956255407075e-05,6.522259570691692e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0748666527789834e-05,5.147094536605715e-05,0.0,3.0394687293092394e-05,5.824745099790096e-05,7.82727887027777e-05
VC_0018,0.0,6.628957327043187e-05,0.00022833000186608054,0.00022744967164416087,0.00019963272397854803,0.0003271653501360786,0.0004167692221427259,0.002225831042031633,0.013170819917824605,0.08016402671459323,0.21928937951488886,0.3734160985937547,0.22731287450444493,0.043597418964110964,0.004539338383721257,0.002019954122159453,0.00015998891957658343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC_0019,0.0,2.6667072573603682e-05,3.729301360341136e-05,4.985538886844764e-05,0.00033011502550376215,0.0028809500362393854,0.013477245510788285,0.058886604284575754,0.2047311543789174,0.4824517250850926,0.8157744111172169,0.6234610396670395,0.11190008035076435,0.005707098757109012,0.0004254234285206696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC_0021,0.0,0.00013237765247963172,0.03302355581289932,0.028358602143170514,0.032617932063314155,0.05067296428028475,0.11431909249481952,0.2762025939389925,0.5480833746688477,0.7695916164965808,0.7294383288534607,0.5723008488496311,0.45986867410496707,0.33884499027812254,0.27086664946299316,0.31222536367409665,0.2789127489175817,0.283060266988353,0.2684125736472914,0.26252053926835783,0.27690456289392495,0.26445070644909474,0.2631324247487376,0.25382393948691084,0.24372742779795095,0.23016713629147212,0.221007867249706,0.20388766007220457,0.18564505426558928,0.16366535524590817,0.15176728775699247
VC_0022,0.0,0.0003341004802605889,0.00011304841392526167,0.0003536474573275413,0.001186617379254291,0.005129572665472636,0.029163198713206277,0.1299069844515792,0.38396338879190123,0.780085772826478,0.6833825673136802,0.14816212302963558,0.06449844361277952,0.03256723118452587,0.021998433306040736,0.012464647067413058,0.01478805101840576,0.013327763788579118,0.014127079072805361,0.011863378329115814,0.011364068434767097,0.011045116758073866,0.010830415804076692,0.010349325911069558,0.010938740680647834,0.011538249882036779,0.011658028133405161,0.011353035717026233,0.010625900903538392,0.010034815543615405,0.009046071498561016
VC_0023,0.0,0.00037081517400788024,0.0026750200828146286,0.0013511956740036271,0.0027653542796731725,0.019294253128948603,0.08615479177911108,0.2723541102023819,0.4374393334870625,0.2349858598440547,0.016142971346478973,0.002327453025949484,0.0012763938878468406,0.0010232129116358735,0.0009167971760803603,0.0008446696720174187,0.0009844491298210973,0.0009686265393152693,0.0008344891693591265,0.0010626120260477168,0.0009920002249300317,0.0011353778721779225,0.0011728522632062292,0.0011100386681391799,0.001109263161108065,0.0012241696152450175,0.0011350030259456526,0.0011013936640523266,0.0011701788505148853,0.0011074185565088743,0.0009949467637609993
VC_0025,0.0,0.005333297479768646,0.005501492756431644,0.005740585800758123,0.005440452943098491,0.007038124894977676,0.009108096010542509,0.025884098712545166,0.0957018812135502,0.27549193764675917,0.5535549593104653,0.4572216511233917,0.0719261236928058,0.022085905229233815,0.01872314262587741,0.018521324210635296,0.014007791030693455,0.01425370353448551,0.015365423225799413,0.015299408825108338,0.015527336066234148,0.015314524390749304,0.015740617219069667,0.015149884301545263,0.015894849222791434,0.01631138464253844,0.016047609929972624,0.015424692400623097,0.014815219846569826,0.01416982224362259,0.011836239595653714
VC_0026,0.0,0.00030785029621790196,0.0002888699221364374,0.0003998634698114367,0.0006346079166440289,0.0032616432678385073,0.014179389014992114,0.06347829139921074,0.19804789684673077,0.4615321487245897,0.4856859558914354,0.11691243321579843,0.006949035883132269,0.0019437730623729904,0.0012314305974269963,0.0008592300907227779,0.0007283289712618655,0.0002109940223631919,0.0001575252067685409,0.00010326085444668831,0.0003864830844333127,0.0006291602405711957,0.0006391258001803327,0.0004949797014370101,0.00047262211327630496,0.0006562662711238249,0.00047316397172906486,0.0003009820967105648,0.0002955727746634599,0.0002186088379877565,0.00011686428169265227
VC_0027,0.0,7.467484670389275e-05,5.7601627387728107e-05,6.140395253923386e-05,0.00011615975803190848,0.00040416729976422124,0.003097276505405437,0.018859026892967028,0.09473352733223474,0.2357439253234524,0.41167256398591673,0.23683245069357525,0.014504576982703927,0.0003852979483821663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC_0028,0.0,0.0001939316572028698,0.000208396301191149,0.0022568755327920403,0.00028654643726413494,0.00015259827604311043,0.0003886589246977682,0.012209204574664994,0.011708376569794864,0.059518292078849434,0.1963830846847985,0.463990685243894,0.4993469442706936,0.2195443886439286,0.013750573619300528,0.0017318321938088218,0.00034448295180763305,7.165311124427861e-05,0.0,1.2111273739381873e-05,2.502961515821652e-05,2.4794361529089794e-05,2.467513635146644e-05,4.994114405608633e-05,8.406971713578606e-05,4.780573502056586e-05,5.970459165944423e-05,0.00010637038618350561,3.62468649175129e-05,0.0,9.252997319112397e-05
VC_0029,0.0,6.109911059636477e-05,5.762269367910455e-05,7.196839671750119e-05,0.0005859413059544368,0.003278658745453166,0.01688290978372561,0.07935146976150179,0.24172621036972727,0.5797569784545828,0.8152745046789982,0.5663376839706721,0.1270610354900063,0.0071429280226476015,0.0003452786557276233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
