locus,oldLocus,gene,description,logFC,qvalue
VC_RS12875,VC2673; VC_2673,,"1,4-dihydroxy-2-naphthoate polyprenyltransferase",0.219680912179525,0.229353677586159
VC_RS12880,VC2674; VC_2674,hslU,HslU--HslV peptidase ATPase subunit,3.10627035192447,4.35147195435172e-07
VC_RS12885,VC2675; VC_2675,hslV,ATP-dependent protease subunit HslV,2.94775113829719,1.06535553418456e-06
VC_RS12890,VC2676; VC_2676,,SPOR domain-containing protein,0.106166866104188,0.567884122883235
VC_RS12895,VC2677; VC_2677,cytR,DNA-binding transcriptional regulator CytR,-0.138957947760609,0.516112529912523
VC_RS12900,VC2678; VC_2678,priA,primosomal protein N',-0.135489426475335,0.341959646584064
VC_RS12905,VC2679; VC_2679,rpmE,50S ribosomal protein L31,-1.03549618848684,0.0018537936378957
VC_RS12910,VC2681; VC_2681,,malic enzyme-like NAD(P)-binding protein,-0.0961500593324467,0.60680602910892
VC_RS12915,VC2682; VC_2682,metJ,met regulon transcriptional regulator MetJ,-0.418867172977307,0.12130958118289
VC_RS12920,VC2683; VC_2683,,O-succinylhomoserine (thiol)-lyase,-0.958293418109088,0.0001932310019751
VC_RS12925,VC2684; VC_2684,,bifunctional aspartate kinase/homoserine dehydrogenase II,-0.512790037952712,0.0109450600162512
VC_RS12930,VC2685; VC_2685,metF,methylenetetrahydrofolate reductase,-1.57835211035491,1.11699044851193e-05
VC_RS12935,VC2686; VC_2686,zapB,cell division protein ZapB,-0.536041182819915,0.0259556383256366
VC_RS12940,VC2688; VC_2688,glpX,class II fructose-bisphosphatase,-0.939914309234687,0.0003904382958403
VC_RS12945,VC2689; VC_2689,pfkA,6-phosphofructokinase,0.418277096605754,0.26405193458753
VC_RS12950,VC2690; VC_2690,fieF,CDF family cation-efflux transporter FieF,0.222857394100469,0.235731339645542
VC_RS12955,VC2691; VC_2691,,CpxP family protein,1.22675003830733,0.002843862280525
VC_RS12960,VC2692; VC_2692,,response regulator,0.499783166660916,0.0135941121851357
VC_RS12965,VC2693; VC_2693,cpxA,envelope stress sensor histidine kinase CpxA,0.539526279600421,0.0017536965046616
VC_RS12970,VC2694; VC_2694,,superoxide dismutase,-0.212088683821799,0.507270364722014
